Step          Temp          E_pair         E_mol          TotEng         Press
     10001   1.3805237     -0.07738338     0              1.9915179      0.014505007
     10100   1.369618      -0.060680139    0              1.9918775      0.014280529
     10200   1.3736873     -0.066873764    0              1.9917822      0.014867238
     10300   1.3808202     -0.077692488    0              1.9916531      0.014261163
     10400   1.3759949     -0.070906403    0              1.9912078      0.014657306
     10500   1.3859923     -0.085598874    0              1.9914979      0.014402017
     10600   1.383555      -0.08187127     0              1.9915728      0.01449886
     10700   1.3794882     -0.075715882    0              1.9916335      0.014370345
     10800   1.3833163     -0.081381815    0              1.9917046      0.014382212
     10900   1.3818772     -0.079136039    0              1.9917936      0.014153138
     11000   1.3827616     -0.081126985    0              1.9911282      0.014282275
     11100   1.3814355     -0.079087911    0              1.9911798      0.014477303
     11200   1.3841919     -0.083335473    0              1.9910631      0.014388896
     11300   1.3804301     -0.077425013    0              1.9913361      0.014281834
     11400   1.3825269     -0.080401752    0              1.9915016      0.014336173
     11500   1.3822948     -0.08021824     0              1.9913373      0.014617281
     11600   1.3818364     -0.079503584    0              1.9913649      0.014599866
     11700   1.3872482     -0.087549594    0              1.9914293      0.014352034
     11800   1.3819586     -0.079540421    0              1.9915113      0.01449139
     11900   1.382064      -0.079459712    0              1.99175        0.014253677
     12000   1.3809664     -0.077888806    0              1.991676       0.01464579
     12100   1.3808035     -0.077428853    0              1.9918917      0.01465366
     12200   1.3709698     -0.062825371    0              1.9917581      0.014851823
     12300   1.3783609     -0.074007257    0              1.9916529      0.01454035
     12400   1.3813051     -0.078973485    0              1.9910988      0.014757314
     12500   1.3825635     -0.080781809    0              1.9911764      0.014368301
     12600   1.3795256     -0.076241205    0              1.9911643      0.014280477
     12700   1.3860103     -0.085842527    0              1.9912811      0.014250021
     12800   1.3771587     -0.072411933    0              1.9914465      0.014366587
     12900   1.3773969     -0.072909177    0              1.9913061      0.01463996
     13000   1.3773226     -0.073075174    0              1.9910288      0.014519897
     13100   1.3763014     -0.071515649    0              1.9910579      0.014308922
     13200   1.3770827     -0.07278454     0              1.99096        0.014423043
     13300   1.3805504     -0.07773328     0              1.9912081      0.014158435
     13400   1.3770971     -0.072677843    0              1.9910882      0.014622657
     13500   1.3825433     -0.081097487    0              1.9908304      0.014314258
     13600   1.3787        -0.075673668    0              1.9904945      0.014634369
     13700   1.38267       -0.081656129    0              1.9904616      0.01417492
     13800   1.3841157     -0.083695246    0              1.9905891      0.014313538
     13900   1.3745991     -0.069289681    0              1.9907328      0.014488997
     14000   1.3731653     -0.066855365    0              1.9910183      0.01481929
     14100   1.3759771     -0.070795483    0              1.9912921      0.014434791
     14200   1.3716327     -0.064498494    0              1.9910785      0.014463272
     14300   1.3790653     -0.075399972    0              1.9913157      0.014687991
     14400   1.3772875     -0.073091793    0              1.9909596      0.01457302
     14500   1.3775577     -0.07327961     0              1.9911768      0.014476359
     14600   1.3818034     -0.080052087    0              1.990767       0.014749607
     14700   1.3789302     -0.075805523    0              1.9907078      0.01457804
     14800   1.3793063     -0.076033114    0              1.9910437      0.014347139
     14900   1.3734269     -0.067081803    0              1.991184       0.014544068
     15000   1.372         -0.065071982    0              1.9910554      0.014892265
     15100   1.372399      -0.065700705    0              1.9910247      0.01431288
     15200   1.388512      -0.090360196    0              1.9905126      0.014055408
     15300   1.3883937     -0.090394183    0              1.9903014      0.014583024
     15400   1.3812058     -0.079120795    0              1.9908027      0.014836936
     15500   1.3750972     -0.069844254    0              1.9909247      0.014324231
     15600   1.3765744     -0.071899662    0              1.9910831      0.014068049
     15700   1.3784816     -0.074790705    0              1.9910502      0.014415929
     15800   1.3736435     -0.067558503    0              1.9910319      0.014217104
     15900   1.3754504     -0.070220505    0              1.9910777      0.014420922
     16000   1.378773      -0.075517639    0              1.99076        0.014456325
     16100   1.3806405     -0.078488417    0              1.990588       0.014813282
     16200   1.3788284     -0.075517626    0              1.990843       0.014165065
     16300   1.3828149     -0.081857284    0              1.9904776      0.014451535
     16400   1.3823418     -0.080764598    0              1.9908614      0.014141409
     16500   1.3829442     -0.081508317    0              1.9910205      0.014093397
     16600   1.3798414     -0.077040989    0              1.9908379      0.014672967
     16700   1.3799011     -0.077352886    0              1.9906154      0.0142004
     16800   1.3828268     -0.081758469    0              1.9905943      0.014269319
     16900   1.3840767     -0.083779203    0              1.9904468      0.014311525
     17000   1.3795771     -0.07747842     0              1.9900042      0.01454704
     17100   1.3844954     -0.084646515    0              1.990207       0.014289783
     17200   1.3856309     -0.086694632    0              1.9898605      0.01450896
     17300   1.3822669     -0.081113384    0              1.9904003      0.014340096
     17400   1.3824113     -0.08095301     0              1.9907772      0.014308739
     17500   1.3749897     -0.069969044    0              1.9906388      0.014734521
